group	wshd	material	site	feature_type	iron_abun	doy	date	methane_nM	water_fe2_uM	temp	oxy_mgL	oxy_uM	pH	totfe3_ext	05fe3_ext	dna_ex	lat	long
OKS5	OKS	biofilm	BseepC	Seep	High Fe	170	20190619	7784.7	22.7	4						3193.1	68.6722	-149.1352
OKS59	OKS	biofilm	BSeepC	Seep	High Fe	175	20190624	8670.8	33.8	2.1	0.6	18.8	6.72			2961.4	68.6722	-149.1352
OKS22	OKS	biofilm	BseepC	Seep	High Fe	183	20190702	5674.1	1.7	8.7	1.4	43.8	6.6			670.4	68.6722	-149.1352
OKS32	OKS	biofilm	BseepC	Seep	High Fe	189	20190708	7686.6	19.9	8.2	0.2	6.3	6.8			231.9	68.6722	-149.1352
OKS64	OKS	biofilm	BSeepC	Seep	High Fe	196	20190715	11578.1	18.2	9.2	0.3	9.4	6.76			1606.9	68.6722	-149.1352
OKS10	OKS	biofilm	BseepC	Seep	High Fe	200	20190719	14821.2	27.2	7.2	0.5	15.6	6.9			3361.5	68.6722	-149.1352
OKS15	OKS	sediment	Pond2	Pond	High Fe	170	20190619	159.8	0.3	8.9						3701.1	68.6726	-149.1368
OKS35	OKS	sediment	Pond2	Pond	High Fe	183	20190702	835.5	0.2	9.3	7.2	225.0	6.9	245	232	8520.4	68.6726	-149.1368
OKS36	OKS	sediment	Pond2	Pond	High Fe	189	20190708	3463.3	0.8	11.8	2.5	78.1	6.7			194.4	68.6726	-149.1368
OKS16	OKS	sediment	Pond2	Pond	High Fe	200	20190719	11472.5	11.5	10.7	1.2	37.5	6.8			3014.8	68.6726	-149.1368
OKS27	OKS	sediment	Pond4	Pond	High Fe	170	20190619	213.9	0	8.9						1530	68.6725	-149.1366
OKS39	OKS	sediment	Pond4	Pond	High Fe	183	20190702	380.7	0.1	9.5	7.4	231.3	6.9	296	286	1078.5	68.6725	-149.1366
OKS41	OKS	sediment	Pond4	Pond	High Fe	189	20190708	1420.1	1.6	12.6	2.7	84.4	6.7			12445.1	68.6725	-149.1366
OKS28	OKS	sediment	Pond4	Pond	High Fe	200	20190719	8107.5	4.4	11.4	2.8	87.5	6.9			724.5	68.6725	-149.1366
OKS13	OKS	sediment	Pond6	Pond	High Fe	170	20190619	184.4	3.9	11.8				223	104	8659.3	68.6723	-149.1362
OKS18	OKS	sediment	Pond6	Pond	High Fe	183	20190702	289.1	0.1	10.1	7.7	240.6	6.9	152	90	24931.7	68.6723	-149.1362
OKS19	OKS	sediment	Pond6	Pond	High Fe	189	20190708	6441.3	0.8	12.8	1.3	40.6	6.5	93	53	23981.5	68.6723	-149.1362
OKS14	OKS	sediment	Pond6	Pond	High Fe	200	20190719	3348.5	0.1	12.5	3	93.8	6.8	81	77	4745.7	68.6723	-149.1362
OKS25	OKS	sediment	Pond9	Pond	Low Fe	170	20190619	312.9	0.3	16.7				4.9	5	3019.6	68.6757	-149.1316
OKS73	OKS	sediment	Pond9	Pond	Low Fe	175	20190624	773.5	0	13.3	10.8	337.5	9.59			9626.9	68.6757	-149.1316
OKS40	OKS	sediment	Pond9	Pond	Low Fe	183	20190702	1204.1	0.2	13.8	12.2	381.3	9.5	1.1	0.8	1920.8	68.6757	-149.1316
OKS42	OKS	sediment	Pond9	Pond	Low Fe	189	20190708	6208.1	0.8	17.5	12.6	393.8	9.6			29703	68.6757	-149.1316
OKS74	OKS	sediment	Pond9	Pond	Low Fe	196	20190715	1708.2	0.1	16.4	11.6	362.5	9.64			17962.8	68.6757	-149.1316
OKS26	OKS	sediment	Pond9	Pond	Low Fe	200	20190719	872.6	0.1	14.9	9.9	309.4	9.5	0	0.2	1915.6	68.6757	-149.1316
OKS17	OKS	biofilm	WSedge1	Wet Sedge	High Fe	170	20190619	100.2	1	11.5				99	85	22736.1	68.6727	-149.1374
OKS75	OKS	biofilm	WSedge1	Wet Sedge	High Fe	175	20190624	710.2	0	8.7	6.9	215.6	6.83			14560.9	68.6727	-149.1374
OKS37	OKS	biofilm	WSedge1	Wet Sedge	High Fe	183	20190702	753.9	0.3	7.3	5.6	175.0	6.5	69	65	1252	68.6727	-149.1374
OKS38	OKS	biofilm	WSedge1	Wet Sedge	High Fe	189	20190708	11969.7	2.1	6.6	0.4	12.5	6.4	59	59	495.7	68.6727	-149.1374
OKS76	OKS	biofilm	WSedge1	Wet Sedge	High Fe	196	20190715	2042.1	10.8	6.6	0.3	9.4	6.52			11789.7	68.6727	-149.1374
OKS29	OKS	biofilm	WSedge1	Wet Sedge	High Fe	200	20190719	2395.7	7.2	7.6	1.1	34.4	6.6	71	63	1784.9	68.6727	-149.1374
TFS4	TFS	sediment	Pond1	Pond	Low Fe	169	20190618	87.3	0.6	11						5092.8	68.624	-149.5956
TFS27	TFS	sediment	Pond10	Pond	Low Fe	173	20190622	997.1	0.8	17				5.1	4.2	3009.6	68.6238	-149.5901
TFS42	TFS	sediment	Pond10	Pond	Low Fe	176	20190625	1322.5	0.3	12.7	9.2	287.5	8.31			2516.6	68.6238	-149.5901
TFS13	TFS	sediment	Pond10	Pond	Low Fe	185	20190704	822.5	0.5	15.2	9.8	306.3	8.4			3405.4	68.6238	-149.5901
TFS17	TFS	sediment	Pond10	Pond	Low Fe	190	20190709	3122.7	0	19.3	10.2	318.8	8.6	20	1.6	3359.1	68.6238	-149.5901
TFS5	TFS	sediment	Pond10	Pond	Low Fe	201	20190720	319.4	0	15.8	9.3	290.6	8.5	17	1.2	3442.5	68.6238	-149.5901
TFS26	TFS	sediment	Pond11	Pond	Low Fe	173	20190622	610.2	0	17.5						6973.6	68.6243	-149.59
TFS41	TFS	sediment	Pond11	Pond	Low Fe	176	20190625	1063.1	1	10.1	10.9	340.6	8.36			5278.1	68.6243	-149.59
TFS28	TFS	sediment	Pond11	Pond	Low Fe	185	20190704	1058.1	0.1	14.8	9.7	303.1	8.4	5	2.8	4793.5	68.6243	-149.59
TFS16	TFS	sediment	Pond11	Pond	Low Fe	190	20190709	11552.3	0	18.7	7	218.8	7.9			5238.4	68.6243	-149.59
TFS43	TFS	sediment	Pond11	Pond	Low Fe	197	20190716	2995.8	0	16.4	5.8	181.3	7.83			13990.2	68.6243	-149.59
TFS6	TFS	sediment	Pond11	Pond	Low Fe	201	20190720	449.9	0	13.7	6.6	206.3	7.9			5484.8	68.6243	-149.59
TFS2	TFS	sediment	Pond2	Seep	High Fe	169	20190618	356	1.1							7958.2	68.626	-149.5957
TFS45	TFS	sediment	Pond2	Seep	High Fe	176	20190625	356.5	0.5	5.2	6.2	193.8	7.1			9570.6	68.626	-149.5957
TFS14	TFS	sediment	Pond2	Seep	High Fe	185	20190704	740	0.8	7.2	4.2	131.3	7	265	204	19008.8	68.626	-149.5957
TFS19	TFS	sediment	Pond2	Seep	High Fe	190	20190709	8757.1	2.5	6.7	1.5	46.9	7			10942.4	68.626	-149.5957
TFS46	TFS	sediment	Pond2	Seep	High Fe	197	20190716	354.4	3.2	6.7	1.9	59.4	7.04			9472.7	68.626	-149.5957
TFS10	TFS	sediment	Pond2	Seep	High Fe	201	20190720	1647.5	1	7	4.7	146.9	7.2			8473.4	68.626	-149.5957
TFS3	TFS	sediment	Pond3	Pond	High Fe	169	20190618	159.5	0.2	13						3782.4	68.6244	-149.6011
TFS15	TFS	sediment	Pond3	Pond	High Fe	185	20190704	485.5	0	12.4	9.9	309.4	7.4	130	114	7447.4	68.6244	-149.6011
TFS20	TFS	sediment	Pond3	Pond	High Fe	190	20190709	601	0.3	19.9	8.2	256.3	7.5	131	114	3701.6	68.6244	-149.6011
TFS9	TFS	sediment	Pond3	Pond	High Fe	201	20190720	893	1.6	11.8	9.7	303.1	7.9	100	63	6703.7	68.6244	-149.6011
TFS11	TFS	sediment	Pond4	Pond	Low Fe	169	20190618	354.1	0.2	14.5						1313.7	68.62475	-149.6027
